,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.21,0.0
Normalized EBITDA,-1189081.0,-784.0
Net Income From Continuing Operation Net Minority Interest,1941118.0,-784.0
EBITDA,-1189081.0,-784.0
EBIT,-1189081.0,-784.0
Net Interest Income,3130199.0,0.0
Interest Income,3130199.0,0.0
Normalized Income,1941118.0,-784.0
Net Income From Continuing And Discontinued Operation,1941118.0,-784.0
Total Expenses,1189081.0,784.0
Diluted NI Availto Com Stockholders,1941118.0,-784.0
Net Income Common Stockholders,1941118.0,-784.0
Net Income,1941118.0,-784.0
Net Income Including Noncontrolling Interests,1941118.0,-784.0
Net Income Continuous Operations,1941118.0,-784.0
Pretax Income,1941118.0,-784.0
Net Non Operating Interest Income Expense,3130199.0,0.0
Interest Income Non Operating,3130199.0,0.0
Operating Income,-1189081.0,-784.0
Operating Expense,1189081.0,784.0
Other Operating Expenses,1189081.0,784.0
Total Revenue,0.0,0.0
Operating Revenue,0.0,0.0
