,2024-02-29,2023-02-28,2022-02-28,2021-02-28,2020-02-29
Free Cash Flow,-24000000.0,-304000000.0,-67000000.0,38000000.0,
Repurchase Of Capital Stock,,,,,0.0
Repayment Of Debt,-515000000.0,0.0,0.0,-611000000.0,
Issuance Of Debt,344000000.0,0.0,0.0,365000000.0,
Issuance Of Capital Stock,6000000.0,6000000.0,10000000.0,19000000.0,
Capital Expenditure,-21000000.0,-41000000.0,-39000000.0,-44000000.0,
End Cash Position,200000000.0,322000000.0,406000000.0,218000000.0,
Beginning Cash Position,322000000.0,406000000.0,218000000.0,426000000.0,
Effect Of Exchange Rate Changes,0.0,-3000000.0,-1000000.0,2000000.0,
Changes In Cash,-122000000.0,-81000000.0,189000000.0,-210000000.0,
Financing Cash Flow,-165000000.0,6000000.0,10000000.0,-227000000.0,
Cash Flow From Continuing Financing Activities,-165000000.0,6000000.0,10000000.0,-227000000.0,
Net Common Stock Issuance,6000000.0,6000000.0,10000000.0,19000000.0,
Common Stock Payments,,,,,0.0
Common Stock Issuance,6000000.0,6000000.0,10000000.0,19000000.0,
Net Issuance Payments Of Debt,-171000000.0,0.0,0.0,-246000000.0,
Net Short Term Debt Issuance,-171000000.0,0.0,0.0,,
Short Term Debt Payments,-515000000.0,0.0,0.0,,
Short Term Debt Issuance,344000000.0,0.0,0.0,,
Net Long Term Debt Issuance,,0.0,0.0,-246000000.0,-2000000.0
Long Term Debt Payments,,0.0,0.0,-611000000.0,-2000000.0
Long Term Debt Issuance,,0.0,0.0,365000000.0,0.0
Investing Cash Flow,46000000.0,176000000.0,207000000.0,-65000000.0,
Cash Flow From Continuing Investing Activities,46000000.0,176000000.0,207000000.0,-65000000.0,
Net Other Investing Changes,,,24000000.0,-24000000.0,
Net Investment Purchase And Sale,67000000.0,200000000.0,222000000.0,3000000.0,
Sale Of Investment,223000000.0,717000000.0,1139000000.0,1047000000.0,
Purchase Of Investment,-156000000.0,-517000000.0,-917000000.0,-1044000000.0,
Net Business Purchase And Sale,,,0.0,0.0,1000000.0
Sale Of Business,,,,,1000000.0
Purchase Of Business,,,0.0,0.0,
Net Intangibles Purchase And Sale,-14000000.0,-34000000.0,-31000000.0,-36000000.0,
Purchase Of Intangibles,-14000000.0,-34000000.0,-31000000.0,-36000000.0,
Net PPE Purchase And Sale,-7000000.0,10000000.0,-8000000.0,-8000000.0,
Sale Of PPE,0.0,17000000.0,0.0,0.0,
Purchase Of PPE,-7000000.0,-7000000.0,-8000000.0,-8000000.0,
Operating Cash Flow,-3000000.0,-263000000.0,-28000000.0,82000000.0,
Cash Flow From Continuing Operating Activities,-3000000.0,-263000000.0,-28000000.0,82000000.0,
Change In Working Capital,-155000000.0,7000000.0,1000000.0,-56000000.0,
Change In Other Working Capital,7000000.0,-29000000.0,-50000000.0,-79000000.0,
Change In Other Current Assets,-53000000.0,-1000000.0,15000000.0,55000000.0,
Change In Payables And Accrued Expense,-20000000.0,0.0,-9000000.0,-46000000.0,
Change In Accrued Expense,-21000000.0,-11000000.0,-16000000.0,-20000000.0,
Change In Payable,1000000.0,11000000.0,7000000.0,-26000000.0,
Change In Account Payable,-7000000.0,2000000.0,2000000.0,-11000000.0,
Change In Tax Payable,8000000.0,9000000.0,5000000.0,-15000000.0,
Change In Income Tax Payable,8000000.0,9000000.0,5000000.0,-15000000.0,
Change In Receivables,-89000000.0,37000000.0,45000000.0,14000000.0,
Changes In Account Receivables,-79000000.0,18000000.0,44000000.0,29000000.0,
Other Non Cash Items,-10000000.0,-11000000.0,-19000000.0,-9000000.0,
Stock Based Compensation,33000000.0,34000000.0,36000000.0,44000000.0,
Unrealized Gain Loss On Investment Securities,3000000.0,-138000000.0,-212000000.0,372000000.0,
Asset Impairment Charge,50000000.0,480000000.0,0.0,637000000.0,
Deferred Tax,,,,-3000000.0,0.0
Deferred Income Tax,,,,-3000000.0,0.0
Depreciation Amortization Depletion,59000000.0,105000000.0,176000000.0,198000000.0,
Depreciation And Amortization,59000000.0,105000000.0,176000000.0,198000000.0,
Amortization Cash Flow,59000000.0,105000000.0,176000000.0,198000000.0,
Amortization Of Intangibles,59000000.0,105000000.0,176000000.0,198000000.0,
Operating Gains Losses,147000000.0,-6000000.0,-22000000.0,,
Gain Loss On Investment Securities,,,-22000000.0,,
Gain Loss On Sale Of PPE,147000000.0,-6000000.0,0.0,0.0,
Net Income From Continuing Operations,-130000000.0,-734000000.0,12000000.0,-1104000000.0,
